link,name

hello,
sumcol,
nsieve,
nsievebits,
fannkuch,
pidigits,
fasta,
nbody,
mandelbrot,
knucleotide,
revcomp,
spectralnorm,
binarytrees,
regexdna,
recursive,
partialsums,
threadring,
chameneosredux,


gnat,Ada 95 GNAT
gcc,C gcc
csharp,C# Mono
gpp,C++ g++
clean,Clean
dlang,D Digitalmars
se,Eiffel SmartEiffel
hipe,
gforth,Forth Gforth
g95,Fortran G95
ghc,Haskell GHC
java,
sbcl,Lisp SBCL
lua,Lua
mlton,ML MLton
ooc,Oberon-2 OO2C
ocaml,OCaml
fpascal,Pascal Free Pascal
perl,Perl
php,PHP
pike,
swiprolog,Prolog SWI
python,Python
ruby,Ruby
gst,Smalltalk GST
tcl,Tcl
javascript,JavaScript SpiderMonkey
mzscheme,Scheme MzScheme
oz,
scala,
nice,

