link,family,name,full,html,tag,date,compare,specialurl
sbcl,Lisp,SBCL,Lisp SBCL,Lisp&nbsp;<strong>SBCL</strong>,CMU CL fork with greater emphasis on maintainability,9/30/2004,java,lisp
lua,Lua,Lua,Lua,<strong>Lua</strong>,"Simple, extensible, embedded scripting",9/30/2004,perl,lua
mercury,Mercury,Mercury,Mercury,<strong>Mercury</strong>,Functional &amp; logic programming,9/30/2004,java,
oz,Mozart/Oz,Mozart/Oz,Mozart/Oz,<strong>Mozart/Oz</strong>,"Multi-paradigm, distributed programming",9/30/2004,java,
nice,Nice,Nice,Nice,<strong>Nice</strong>,Safe multi-method OO for JVM,9/30/2004,java,nice
ocaml,OCaml,OCaml,OCaml,<strong>OCaml</strong>,OO integrated with ML,9/30/2004,gcc,ocaml
ocamlb,OCaml,OCaml (bytecode),OCaml (bytecode),OCaml&nbsp;<strong>(bytecode)</strong>,OO integrated with ML (bytecode),9/30/2004,java,
ooc,Oberon-2,OO2C,Oberon-2 OO2C,Oberon-2&nbsp;<strong>OO2C</strong>,Lean component development: modules &amp; OO,9/30/2004,gcc,
octave,Matlab,GNU Octave,Matlab GNU Octave,Matlab&nbsp;<strong>GNU&nbsp;Octave</strong>,Free Matlab Implementation,9/30/2006,perl,
xds,Oberon-2,XDS,Oberon-2 XDS,Oberon-2&nbsp;<strong>XDS</strong>,Lean component development: modules &amp; OO,9/19/2005,gcc,
objc,Objective-C,Objective-C,Objective-C,<strong>Objective-C</strong>,OO superset of C with a Smalltalk-style syntax,9/30/2004,gcc,
php,PHP,PHP,PHP ,<strong>PHP</strong>,"Scripts embedded in HTML, and much more",9/30/2004,perl,php
fpascal,Pascal,Free Pascal,Pascal Free Pascal,Pascal&nbsp;<strong>Free&nbsp;Pascal</strong>,Structured programming plus objects,9/30/2004,gcc,pascal
perl,Perl,Perl,Perl,<strong>Perl</strong>,Server-side shell &amp; CGI scripts,9/30/2004,java,perl
pike,Pike,Pike,Pike,<strong>Pike</strong>,Scripting with explicit types,9/30/2004,perl,pike
pop11,Pop11,Pop11,Pop11,<strong>Pop11</strong>,"Multi-paradigm, multi-language core",9/30/2004,java,
gprolog,Prolog,GNU,Prolog GNU,Prolog&nbsp;<strong>GNU</strong>,Logic and constraint logic programming,9/30/2004,java,
ciao,Prolog,Ciao,Prolog Ciao,Prolog&nbsp;<strong>Ciao</strong>,Constraint-enhanced Prolog platform,9/30/2004,java,
python,Python,Python,Python,<strong>Python</strong>,"Interpreted, interactive, OO language",9/30/2004,perl,python
psyco,Python,Psyco,Python Psyco,Python&nbsp;<strong>Psyco</strong>,Representation-based just-in-time specialization,9/30/2004,perl,
ruby,Ruby,Ruby,Ruby,<strong>Ruby</strong>,Pure OO - everything is an object - scripting,9/30/2004,perl,ruby
slang,S-Lang,S-Lang,S-Lang,<strong>S-Lang</strong>,Embeddable extension language,9/30/2004,perl,
popsml,SML,PSML,SML PSML,SML&nbsp;<strong>PSML</strong>,SML hosted in Poplog,9/30/2004,gcc,
smlnj,SML,SML/NJ,SML SML/NJ,SML&nbsp;<strong>SML/NJ</strong>,Elegance of FP combined with effectiveness of imperative programming,9/30/2004,gcc,
mlton,SML,MLton,SML MLton,SML&nbsp;<strong>MLton</strong>,Whole program optimizing ML compiler,9/30/2004,gcc,ml
poly,SML,Poly/ML,SML Poly/ML,SML&nbsp;<strong>Poly/ML</strong>,"Stable, standards-compliant SML 97",9/30/2004,java,
bigloo,Scheme,Bigloo,Scheme Bigloo,Scheme&nbsp;<strong>Bigloo</strong>,Scheme for where C(++) is usually required,9/30/2004,gcc,
mzscheme,Scheme,MzScheme,Scheme MzScheme,Scheme&nbsp;<strong>MzScheme</strong>,"Lightweight, embeddable, scripting-friendly PLT Scheme",9/30/2004,perl,
mzc,Scheme,MZC,Scheme MZC,Scheme&nbsp;<strong>MZC</strong>,"MzScheme, compiled",9/30/2004,java,
stalin,Scheme,Stalin,Scheme Stalin,Scheme&nbsp;<strong>Stalin</strong>,Optimizing Scheme compiler,9/30/2004,gcc,
chicken,Scheme,Chicken,Scheme Chicken,Scheme&nbsp;<strong>Chicken</strong>,"Statically scoped, properly tail-recursive dialect of Lisp",9/30/2004,java,scheme
guile,Scheme,Guile,Scheme Guile,Scheme&nbsp;<strong>Guile</strong>,Scheme reborn as a scripting and extension language,9/30/2004,perl,
gst,Smalltalk,GST,Smalltalk GST,Smalltalk&nbsp;<strong>GST</strong>,Pure OO - Smalltalk as a scripting language,9/30/2004,perl,smalltalk
tcl,Tcl,Tcl,Tcl,<strong>Tcl</strong>,Extensible scripting with easy-to-embed interpreter,9/30/2004,perl,tcl
elastic,elastiC,elastiC,elastiC,<strong>elastiC</strong>,Interpreted C-like language,9/30/2004,gcc,
javascript,JavaScript,SpiderMonkey,JavaScript SpiderMonkey,JavaScript&nbsp;<strong>SpiderMonkey</strong>,Ubiquitous web-browser embedded scripting ,6/25/2005,perl,javascript
regina,Rexx,Regina,Rexx Regina,Rexx <strong>Regina</strong>,Historic (originally IBM) scripting language,9/25/2005,perl,rexx
